timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766686118.7965376,1,0.0,56.94,office_paper,0.063,14.6,1826.68
1766686118.8875906,2,0.0,45.57,office_paper,0.063,66.7,1826.91
1766686118.941043,3,0.0,49.66,office_paper,0.063,90.5,1826.91
1766686118.9865317,4,0.0,43.03,office_paper,0.063,94.4,1826.91
1766686119.0345192,5,0.0,42.94,office_paper,0.063,95.0,1826.91
1766686119.0966182,6,0.0,42.93,office_paper,0.063,76.0,1826.91
1766686119.1592581,7,0.0,42.74,office_paper,0.063,74.1,1826.91
1766686119.2220285,8,0.0,42.48,office_paper,0.063,72.0,1826.91
1766686119.2841487,9,0.0,41.62,office_paper,0.063,72.0,1826.91
1766686119.3501968,10,0.0,44.46,office_paper,0.063,68.0,1826.91
1766686119.41104,11,0.0,42.59,office_paper,0.063,73.9,1826.91
1766686119.4741604,12,0.0,42.86,office_paper,0.063,70.4,1826.91
1766686119.5376806,13,0.0,43.57,office_paper,0.063,72.0,1826.91
1766686119.60037,14,0.0,43.16,office_paper,0.063,76.0,1826.91
1766686119.6627202,15,0.0,42.62,office_paper,0.063,70.8,1826.91
1766686119.7258317,16,15.74,42.77,office_paper,0.063,73.1,1826.91
1766686119.788361,17,15.74,41.87,office_paper,0.063,70.8,1826.91
1766686119.852507,18,15.74,43.21,office_paper,0.063,70.4,1826.91
1766686119.9133673,19,15.74,40.86,office_paper,0.063,72.7,1826.91
1766686119.9776843,20,15.74,42.89,office_paper,0.063,69.2,1826.91
1766686120.0408297,21,15.74,43.05,office_paper,0.063,72.0,1826.91
1766686120.103814,22,15.74,43.04,office_paper,0.063,72.0,1826.91
1766686120.1676142,23,15.74,43.87,office_paper,0.063,73.1,1826.91
1766686120.229684,24,15.74,42.97,office_paper,0.063,75.0,1826.91
1766686120.292731,25,15.74,43.03,office_paper,0.063,70.8,1826.91
1766686120.3570964,26,15.74,44.35,office_paper,0.063,73.1,1826.91
1766686120.417359,27,15.74,41.55,office_paper,0.063,72.0,1826.91
1766686120.4821758,28,15.74,43.7,office_paper,0.063,70.8,1826.91
1766686120.5453033,29,15.74,43.82,office_paper,0.063,76.0,1826.91
1766686120.6073759,30,15.74,42.98,office_paper,0.063,72.0,1826.91
1766686120.6695766,31,15.74,42.1,office_paper,0.063,72.0,1826.91
1766686120.7325687,32,15.89,42.33,office_paper,0.063,70.8,1826.91
1766686120.7944834,33,15.89,41.08,office_paper,0.063,68.0,1826.91
1766686120.85953,34,15.89,43.13,office_paper,0.063,72.0,1827.04
1766686120.9215376,35,15.89,42.16,office_paper,0.063,72.0,1827.13
1766686120.9854596,36,15.89,43.26,office_paper,0.063,72.0,1827.13
1766686121.047305,37,15.89,42.18,office_paper,0.063,72.0,1827.13
1766686121.1106563,38,15.89,42.55,office_paper,0.063,68.0,1827.13
1766686121.1740494,39,15.89,42.9,office_paper,0.0631,75.0,1827.13
1766686121.236737,40,15.89,42.76,office_paper,0.063,72.0,1827.13
1766686121.298335,41,15.89,41.31,office_paper,0.063,70.8,1827.13
1766686121.363167,42,15.89,43.16,office_paper,0.063,71.4,1827.13
1766686121.4254966,43,15.89,42.46,office_paper,0.063,72.0,1827.13
1766686121.4983506,44,15.89,49.26,office_paper,0.063,77.8,1827.13
1766686121.5510085,45,15.89,41.46,office_paper,0.0631,81.0,1827.13
1766686121.615047,46,15.89,43.24,office_paper,0.0631,73.1,1827.13
1766686121.6766725,47,15.89,41.88,office_paper,0.063,73.1,1826.16
1766686121.7414362,48,15.88,43.71,office_paper,0.063,68.0,1826.14
1766686121.8039868,49,15.88,43.07,office_paper,0.063,76.0,1826.14
1766686121.8671052,50,15.88,43.13,office_paper,0.063,73.1,1826.14
1766686121.9300797,51,15.88,43.24,office_paper,0.063,72.0,1826.14
1766686121.9923894,52,15.88,42.65,office_paper,0.0631,72.0,1826.14
1766686122.0547423,53,15.88,41.86,office_paper,0.063,70.8,1826.14
1766686122.118307,54,15.88,42.74,office_paper,0.063,72.0,1826.39
1766686122.1820745,55,15.88,43.74,office_paper,0.063,72.0,1826.39
1766686122.2447264,56,15.88,43.16,office_paper,0.063,72.0,1826.39
1766686122.307474,57,15.88,42.9,office_paper,0.063,73.1,1826.39
1766686122.3730001,58,15.88,45.58,office_paper,0.063,64.0,1826.39
1766686122.4335873,59,15.88,43.17,office_paper,0.063,78.3,1826.39
1766686122.4966636,60,15.88,43.03,office_paper,0.0631,72.0,1826.39
1766686122.559722,61,15.88,43.34,office_paper,0.063,73.1,1826.39
1766686122.6217692,62,15.88,42.41,office_paper,0.063,70.8,1826.39
1766686122.6848173,63,15.88,42.57,office_paper,0.0631,72.0,1826.39
1766686122.7486684,64,15.88,43.56,office_paper,0.0631,72.0,1826.39
1766686122.8092663,65,15.88,40.99,office_paper,0.063,70.8,1826.39
1766686122.8736093,66,15.88,42.68,office_paper,0.0631,72.0,1826.39
