timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766688419.9126697,1,0.31,0.92,disposable_plastic_cutlery,0.8398,17.1,278.29
1766688419.9799762,2,0.31,0.75,clothing,0.5625,15.4,279.1
1766688420.046941,3,0.31,0.71,disposable_plastic_cutlery,0.6484,15.4,279.26
1766688420.1118863,4,0.31,0.72,clothing,0.6562,11.5,279.41
1766688420.178394,5,0.31,0.76,clothing,0.8086,11.1,279.55
1766688420.2449532,6,0.31,0.68,clothing,0.9453,14.8,279.7
1766688420.3129122,7,0.31,0.67,clothing,0.9219,7.7,279.87
1766688420.3777115,8,0.31,0.72,clothing,0.918,4.0,280.02
1766688420.443959,9,0.31,0.72,clothing,0.918,7.7,280.19
1766688420.5128853,10,0.31,0.66,clothing,0.9805,10.3,280.19
1766688420.5799923,11,0.31,0.66,clothing,0.9219,7.7,280.2
1766688420.646046,12,0.31,0.67,clothing,0.9648,7.7,280.2
1766688420.7106125,13,0.31,0.72,clothing,0.9688,11.1,280.2
1766688420.7770848,14,0.31,0.69,clothing,0.9922,3.8,280.21
1766688420.8434944,15,0.31,0.66,clothing,0.9336,7.7,280.21
1766688420.9100447,16,0.31,0.67,clothing,0.9766,3.8,280.21
1766688420.9778495,17,15.02,0.69,clothing,0.9297,3.8,280.22
1766688421.0447164,18,15.02,0.66,clothing,0.9375,7.4,280.24
1766688421.1106775,19,15.02,0.71,clothing,0.9688,4.0,280.24
1766688421.1771176,20,15.02,0.66,clothing,0.9883,10.7,280.25
1766688421.2437093,21,15.02,0.66,clothing,0.918,3.8,280.25
1766688421.3095121,22,15.02,0.67,clothing,0.9688,4.0,280.26
1766688421.3760688,23,15.02,0.66,clothing,0.7734,7.4,280.26
1766688421.44395,24,15.02,0.66,clothing,0.8945,10.3,280.26
1766688421.5102408,25,15.02,0.7,clothing,0.7422,7.4,280.26
1766688421.5767515,26,15.02,0.66,clothing,0.5391,7.7,280.27
1766688421.643134,27,15.02,0.67,clothing,0.6914,7.4,280.27
1766688421.7096584,28,15.02,0.66,clothing,0.7852,3.8,280.27
1766688421.7763448,29,15.02,0.68,clothing,0.5977,7.4,280.28
1766688421.8427172,30,15.02,0.69,clothing,0.8047,3.8,280.28
1766688421.9089649,31,15.02,0.67,clothing,0.625,3.8,280.28
1766688421.9768646,32,15.02,0.66,clothing,0.9258,7.4,280.28
1766688422.043314,33,15.02,0.66,clothing,0.9531,7.4,280.28
1766688422.1096635,34,15.02,0.66,clothing,0.9141,0.0,280.28
1766688422.1763008,35,15.02,0.65,clothing,0.9727,7.4,280.28
1766688422.2426634,36,15.02,0.7,clothing,0.8633,3.8,280.28
1766688422.3091843,37,15.02,0.66,clothing,0.9258,3.8,280.28
1766688422.375731,38,15.02,0.66,clothing,0.8516,10.7,280.28
1766688422.4433084,39,15.02,0.66,clothing,0.9609,0.0,280.28
1766688422.511015,40,15.02,0.66,clothing,0.875,0.0,280.28
1766688422.5763843,41,15.02,0.66,plastic_cup_lid,0.832,7.7,280.28
1766688422.6428614,42,15.02,0.67,clothing,0.9258,3.8,280.28
1766688422.7096565,43,15.02,0.66,plastic_cup_lid,0.3945,3.8,280.28
1766688422.7761397,44,15.02,0.66,deteregent_bottle,0.5742,7.4,280.28
1766688422.8428698,45,15.02,0.66,styrofoam_cups,0.3711,3.7,280.28
1766688422.9104912,46,15.02,0.7,styrofoam_cups,0.5938,0.0,280.28
1766688422.9769244,47,15.02,0.66,styrofoam_cups,0.2734,10.7,280.28
1766688423.0434687,48,15.0,0.66,styrofoam_cups,0.4375,10.7,280.28
1766688423.111174,49,15.0,0.66,cardboard_boxes,0.5664,3.8,280.28
1766688423.1822884,50,15.0,1.1,cardboard_boxes,0.7891,3.6,280.28
1766688423.252464,51,15.0,1.11,glass_cosmetic_containers,0.4922,10.7,280.28
1766688423.31774,52,15.0,1.0,glass_cosmetic_containers,0.6992,7.7,280.28
1766688423.3859928,53,15.0,1.11,cardboard_boxes,0.8945,3.8,280.28
1766688423.452623,54,15.0,1.12,cardboard_boxes,0.8867,11.1,280.28
1766688423.5189335,55,15.0,1.05,cardboard_boxes,0.832,7.7,280.28
1766688423.5856307,56,15.0,1.11,cardboard_boxes,0.793,4.0,280.28
1766688423.6522975,57,15.0,1.11,cardboard_boxes,0.5547,11.1,280.28
1766688423.7176533,58,15.0,0.99,cardboard_boxes,0.2344,4.2,280.28
1766688423.7845051,59,15.0,1.1,cardboard_boxes,0.9219,7.4,280.28
1766688423.853413,60,15.0,1.12,cardboard_boxes,0.7383,11.1,280.28
1766688423.9181347,61,15.0,1.0,cardboard_boxes,0.3086,7.7,280.28
1766688423.985084,62,15.0,1.02,deteregent_bottle,0.5352,11.5,280.28
1766688424.0525932,63,14.87,1.11,cardboard_boxes,0.2227,7.4,280.28
1766688424.1180716,64,14.87,0.99,clothing,0.2109,4.2,280.28
1766688424.1845734,65,14.87,1.05,cardboard_boxes,0.4531,10.7,280.28
1766688424.2518735,66,14.87,1.1,deteregent_bottle,0.4492,7.7,280.28
1766688424.319594,67,14.87,1.11,cardboard_boxes,0.2734,4.0,280.28
1766688424.3857718,68,14.87,1.1,plastic_cup_lid,0.2695,7.7,280.28
1766688424.451269,69,14.87,1.05,plastic_cup_lid,0.4219,11.1,280.28
1766688424.5204153,70,14.87,1.11,cardboard_packaging,0.207,3.7,280.28
1766688424.585307,71,14.87,1.11,aluminum_soda_cans,0.5195,14.8,280.28
1766688424.6523054,72,14.87,1.0,disposable_plastic_cutlery,0.5703,4.0,280.28
1766688424.7176876,73,14.87,1.09,clothing,0.1953,7.7,280.28
1766688424.7849562,74,14.87,1.1,clothing,0.9336,11.1,280.28
1766688424.851237,75,14.87,1.03,plastic_cup_lid,0.7461,4.0,280.28
1766688424.9192243,76,14.87,1.23,cardboard_packaging,0.4258,11.1,280.28
1766688424.9854057,77,14.87,1.11,cardboard_packaging,0.1484,11.1,280.28
1766688425.0506027,78,14.87,1.04,clothing,0.7227,11.5,280.28
1766688425.1183786,79,15.01,1.16,clothing,0.9492,10.7,280.28
1766688425.1847458,80,15.01,1.11,clothing,0.7539,7.7,280.29
1766688425.2501545,81,15.01,0.99,aluminum_food_cans,0.4766,8.0,280.29
1766688425.3185012,82,15.01,1.17,aluminum_food_cans,0.3672,10.7,280.29
1766688425.3856423,83,15.01,1.1,disposable_plastic_cutlery,0.4844,11.1,280.29
1766688425.451203,84,15.01,1.05,cardboard_boxes,0.7461,4.0,280.29
1766688425.5182698,85,15.01,1.1,cardboard_boxes,0.5195,7.7,280.29
1766688425.584973,86,15.01,1.1,disposable_plastic_cutlery,0.8789,11.1,280.29
1766688425.6504025,87,15.01,1.03,clothing,0.4219,7.7,280.29
1766688425.7168155,88,15.01,1.09,cardboard_boxes,0.6367,7.7,280.29
