timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766734344.571701,86,30.02,0.93,cardboard_boxes,0.2305,21.4,279.99
1766734344.6050804,87,30.02,0.93,cardboard_boxes,0.2695,21.4,280.0
1766734344.6384683,88,30.02,0.93,clothing,0.3633,16.7,280.0
1766734344.6715407,89,30.02,0.93,clothing,0.6641,26.7,280.0
1766734344.705671,90,30.02,1.06,clothing,0.5078,15.4,280.0
1766734344.7398257,91,30.02,1.02,clothing,0.4219,16.7,280.0
1766734344.7734482,92,30.02,1.07,clothing,0.3164,21.4,280.0
1766734344.8060398,93,29.79,0.96,cardboard_boxes,0.2383,23.1,280.0
1766734344.8387272,94,29.79,0.92,clothing,0.5078,23.1,280.0
1766734344.871926,95,29.79,0.93,clothing,0.4922,15.4,280.0
1766734344.9054325,96,29.79,0.96,clothing,0.5898,15.4,280.0
1766734344.9394503,97,29.79,0.92,clothing,0.3672,15.4,280.0
1766734344.972035,98,29.79,0.93,clothing,0.5312,30.8,280.0
1766734345.00591,99,29.79,0.97,clothing,0.2969,21.4,280.0
1766734345.0387566,100,29.79,0.93,clothing,0.4766,21.4,280.0
1766734345.0718322,101,29.79,0.93,clothing,0.4375,16.7,280.0
1766734345.1058433,102,29.79,0.97,disposable_plastic_cutlery,0.5,26.7,280.0
1766734345.13915,103,29.79,0.93,clothing,0.4102,16.7,280.0
1766734345.172618,104,29.79,0.92,clothing,0.4102,21.4,280.0
1766734345.2057672,105,29.79,0.97,cardboard_boxes,0.3203,8.3,280.0
1766734345.2396793,106,29.79,0.93,cardboard_boxes,0.3164,28.6,280.0
1766734345.2729495,107,29.79,0.93,cardboard_boxes,0.2344,15.4,280.0
1766734345.3057308,108,29.79,0.98,clothing,0.2852,16.7,280.0
1766734345.3394785,109,29.79,0.93,clothing,0.3711,21.4,280.0
1766734345.372766,110,29.79,0.93,clothing,0.5547,15.4,280.0
1766734345.4062974,111,29.79,0.93,aluminum_food_cans,0.2656,16.7,280.0
1766734345.4399107,112,29.79,0.94,clothing,0.3711,21.4,280.0
1766734345.4738557,113,29.79,0.97,clothing,0.3789,21.4,280.0
1766734345.5065763,114,29.79,0.93,clothing,0.7969,9.1,280.0
1766734345.5394526,115,29.79,0.93,aluminum_food_cans,0.3086,21.4,280.0
1766734345.57291,116,29.79,0.94,aluminum_food_cans,0.2773,21.4,280.0
1766734345.6067617,117,29.79,0.93,clothing,0.5703,15.4,280.0
1766734345.639615,118,29.79,0.93,cardboard_boxes,0.3359,9.1,280.0
1766734345.67324,119,29.79,0.97,clothing,0.3555,21.4,280.0
1766734345.7068026,120,29.79,0.94,clothing,0.4414,15.4,280.0
1766734345.7400746,121,29.79,0.93,clothing,0.4688,15.4,280.0
1766734345.7739933,122,29.79,0.94,clothing,0.4141,23.1,280.0
1766734345.8067303,123,29.98,0.94,clothing,0.2734,15.4,280.0
1766734345.8402908,124,29.98,0.93,aluminum_food_cans,0.2852,23.1,280.0
1766734345.8732975,125,29.98,0.99,clothing,0.3672,15.4,280.0
1766734345.9072714,126,29.98,0.93,cardboard_boxes,0.3945,15.4,280.0
1766734345.940528,127,29.98,0.94,clothing,0.4648,16.7,280.0
1766734345.9724405,128,29.98,0.95,clothing,0.3398,16.7,280.0
1766734346.0046818,129,29.98,0.98,clothing,0.3477,26.7,280.0
1766734346.0405896,130,29.98,0.93,clothing,0.7422,8.3,280.0
1766734346.0741355,131,29.98,0.94,clothing,0.293,26.7,280.0
1766734346.1028466,132,29.98,1.28,aluminum_food_cans,0.2383,18.2,280.0
1766734346.1394334,133,29.98,0.95,aluminum_food_cans,0.2539,8.3,280.0
1766734346.1700609,134,29.98,1.59,aluminum_food_cans,0.2266,28.6,280.0
1766734346.2056966,135,29.98,0.98,clothing,0.2852,14.3,280.0
1766734346.2360897,136,29.98,1.38,clothing,0.3359,18.2,280.0
1766734346.2719533,137,29.98,1.21,clothing,0.4336,20.0,280.0
1766734346.3018775,138,29.98,1.03,clothing,0.3945,25.0,280.0
1766734346.336668,139,29.98,1.44,clothing,0.2969,8.3,280.0
1766734346.3706636,140,29.98,1.59,aluminum_food_cans,0.3555,21.4,280.0
1766734346.4023201,141,29.98,1.09,clothing,0.6523,16.7,280.0
1766734346.4368021,142,29.98,1.4,clothing,0.332,15.4,280.0
1766734346.4690773,143,29.98,1.01,clothing,0.3008,23.1,280.0
